pid,label,order,layout,collection,thumbnail,full,題名,書名,所蔵機関,請求記号,画工名,和暦年月日,版元名,版元住所,判,形態,彩色,検印状況,主題,細目,その他書誌事項,manifest,人名,検印,その他固有件名,彫師,地名
0001,（道化武者づくし　籠城の大将夜廻りの図）,0001,nishikie_item,qatar,"/img/derivatives/iiif/images/0001_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0001_001/full/1140,/0/default.jpg",（道化武者づくし　籠城の大将夜廻りの図）,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(1),（国芳）,（安政５年）(18580550550),（上州屋金蔵）,（池の端通仲町）,その他,正方形 尽しでシリーズ,錦絵,なし,安政大獄,風刺画,12.1×12.7㎝、附箋「城にこもり大将の夜廻り拙絵ハ其訳城内の大将目かまわるといふたとへなり」,/img/derivatives/iiif/0001/manifest.json,,,,,
0002,（道化武者づくし　神を水中へ引込み姫いかるの図）,0002,nishikie_item,qatar,"/img/derivatives/iiif/images/0002_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0002_001/full/1140,/0/default.jpg",（道化武者づくし　神を水中へ引込み姫いかるの図）,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(2),（国芳）,（安政５年）(18580550550),（上州屋金蔵）,（池の端通仲町）,その他,正方形 尽しでシリーズ,錦絵,なし,安政大獄,風刺画,12.4×12.8㎝、附箋「神を水中へ引込み二姫のいかる所、其訳上を水戸が引こむゆへに姫がはらたつといふる也」,/img/derivatives/iiif/0002/manifest.json,徳川斉昭,,,,
0003,（道化武者づくし　穴の中の大将の図）,0003,nishikie_item,qatar,"/img/derivatives/iiif/images/0003_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0003_001/full/1140,/0/default.jpg",（道化武者づくし　穴の中の大将の図）,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(3),一勇斎国芳戯画,（安政５年）(18580550550),（上金）,（池の端通仲町）,その他,正方形 尽しでシリーズ,錦絵,検印かどうか不明,安政大獄,風刺画,12.7×12.8㎝、附箋「穴の中の大将ハおりに入る小石川の大親玉いつもこわい顔してゐる故に家来共おそれるといふ訳をしるせし也」,/img/derivatives/iiif/0003/manifest.json,徳川斉昭,,,,
0004,（道化武者づくし　赤鬼大将を威すの図）,0004,nishikie_item,qatar,"/img/derivatives/iiif/images/0004_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0004_001/full/1140,/0/default.jpg",（道化武者づくし　赤鬼大将を威すの図）,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(4),（国芳）,（安政５年）(18580550550),（上州屋金蔵）,（池の端通仲町）,その他,正方形 尽しでシリーズ,錦絵,なし,安政大獄,風刺画,12.4×12.8㎝、附箋「赤鬼大老にたとへ引一ツ橋の大将赤鬼を見ておそれるといふ事なり小鬼ハ御幼君女御台所か」,/img/derivatives/iiif/0004/manifest.json,井伊直弼/徳川慶喜/徳川家茂,,,,
0005,（道化武者づくし　三ツ目入道頼光及び四天王の図）,0005,nishikie_item,qatar,"/img/derivatives/iiif/images/0005_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0005_001/full/1140,/0/default.jpg",（道化武者づくし　三ツ目入道頼光及び四天王の図）,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(5),（国芳）,（安政５年）(18580550550),（上州屋金蔵）,（池の端通仲町）,その他,正方形 尽しでシリーズ,錦絵,なし,安政大獄,風刺画,12.2×12.8㎝、附箋「三ツ目入道ハ水戸卿巣ニ蜘ニ一ツ目小僧ハ三品よせて頭の字こと葉にし見給ふべし頼光ハ大老四天王ハ四老中其訳三と目をす。く。め。るとの談合を此絵にはんじさせし事文字見てはんじ給へ」,/img/derivatives/iiif/0005/manifest.json,徳川斉昭/井伊直弼,,,,
0006,（道化武者づくし　芸者に唐人の箱持の図）,0006,nishikie_item,qatar,"/img/derivatives/iiif/images/0006_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0006_001/full/1140,/0/default.jpg",（道化武者づくし　芸者に唐人の箱持の図）,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(6),（国芳）,（安政５年）(18580550550),（上州屋金蔵）,（池の端通仲町）,その他,正方形 尽しでシリーズ,錦絵,なし,安政大獄,風刺画,附箋「芸者に唐人の箱持していそがしく歩行く其訳ハ唐人のとうニにごりうちてげいどうはげむといふ事」,/img/derivatives/iiif/0006/manifest.json,,,,,
0007,青物魚軍勢大合戦之図,0007,nishikie_item,qatar,"/img/derivatives/iiif/images/0007_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0007_001/full/1140,/0/default.jpg",青物魚軍勢大合戦之図,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(7),広景画,安政６年１０月(18590100550),辻岡屋,横山町三丁目,大判,竪絵 ３枚続,錦絵,あり,疾病（衛生）／コレラ,風刺画,「安政６年７月下旬より去年行はれし暴瀉病ふたたび行はれ、男女死亡多し、９月に至りて止む」と武江年表にあり,/img/derivatives/iiif/0007/manifest.json,,未十改,,,
0008,破奇術頼光袴垂為搦,0008,nishikie_item,qatar,"/img/derivatives/iiif/images/0008_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0008_001/full/1140,/0/default.jpg",破奇術頼光袴垂為搦,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(8),一英斎芳艶,安政５年４月(18580040550),蔦屋吉蔵,,大判,竪絵 ３枚続,錦絵,あり,安政大獄,風刺画,「きじゅつをやぶってよりみつはかまだれをからめんとす」、後筆にて「安政５年将軍毒殺人諷刺」、但し４月だからどうか,/img/derivatives/iiif/0008/manifest.json,袴垂保輔/源頼光/占部季武/平井保昌/渡辺綱,午四,大蛇,,
0009,道化狂画,0009,nishikie_item,qatar,"/img/derivatives/iiif/images/0009_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0009_001/full/1140,/0/default.jpg",道化狂画,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(9),一寿斎芳員狂画印,安政５年４月(18580040550),角本屋金次郎（角金）,,大判,竪絵 １枚,錦絵,あり,,風刺画,,/img/derivatives/iiif/0009/manifest.json,井伊直弼,午四,,,
0010,唐人つつら中のり三頭ばなし,0010,nishikie_item,qatar,"/img/derivatives/iiif/images/0010_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0010_001/full/1140,/0/default.jpg",唐人つつら中のり三頭ばなし,維新前後諷刺画　一,東京大学史料編纂所,0380-17-1-(10),なし,安政期？(55550550552),,,大判,竪絵 １枚,錦絵,なし,戯び,,つづらを背負った男を西洋人が指さす図，落のある詞書あり、「これかほんの唐人につづらねへだ」,/img/derivatives/iiif/0010/manifest.json,,,つづら,,
